AATS0s,AATSC4c,AATSC4s,MATS3d,BDE,barrier,T,log10(k)
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,845.0,-11.48015797
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,825.0,-11.28509789
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,715.0,-11.274725073375524
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,785.0,-11.23007172
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,850.0,-11.28493121
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,790.0,-11.34068987
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,805.0,-11.52767573
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,795.0,-11.53995224
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,745.0,-11.60316745
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,985.0,-10.928432619844072
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,745.0,-11.453716972165571
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,730.0,-11.28675001
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,840.0,-11.124837457680709
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,750.0,-11.61101638
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,940.0,-11.20490356
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,750.0,-11.448491292070814
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,990.0,-11.25325525
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,705.0,-11.58871455
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,800.0,-11.170624154773572
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,825.0,-11.4353358
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,990.0,-10.92235905175992
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,845.0,-11.17042602
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,865.0,-11.118635539350484
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,765.0,-11.36448551
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,890.0,-11.313528775077131
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,835.0,-11.49321225
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,800.0,-11.54018078
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,955.0,-11.34606383
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,860.0,-11.25489938
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,800.0,-11.3069859
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,870.0,-11.45064728
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,795.0,-11.193106144205698
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,995.0,-10.916323720569844
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,940.0,-11.18789086
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,755.0,-11.44329647769926
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,940.0,-11.30542552
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,820.0,-11.51309309
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,860.0,-11.102639399937376
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,895.0,-11.044872513409274
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,935.0,-11.20923689
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,875.0,-11.44491185
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,990.0,-10.92049496522158
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,740.0,-11.62575608
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,885.0,-11.075508163512978
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,715.0,-11.485740013970116
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,925.0,-11.004476979056832
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,870.0,-11.33158371052963
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,855.0,-11.25918108
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,795.0,-11.47180229
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,710.0,-11.42979851364835
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,815.0,-11.29382191
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,820.0,-11.147492823641295
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,715.0,-11.30253597
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,795.0,-11.402807535745994
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,880.0,-11.065720188074502
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,715.0,-11.57512216
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,860.0,-11.127393401865175
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,960.0,-10.95939068201303
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,740.0,-11.458973881046091
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,800.0,-11.185135951891349
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,815.0,-11.19996375
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,945.0,-11.013007567790282
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,920.0,-11.22231569
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,905.0,-11.2168581
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,815.0,-11.51980185
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,885.0,-11.084309524433325
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,735.0,-11.28151893
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,825.0,-11.141785107582876
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,705.0,-11.348789002791024
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,750.0,-11.340654619260755
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,955.0,-11.06689225
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,810.0,-11.29819959
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,955.0,-11.17564305
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,815.0,-11.20962281056122
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,835.0,-11.42343395
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,760.0,-11.34253015
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,870.0,-11.24636873
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,985.0,-10.927736842074886
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,910.0,-11.21268658
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,945.0,-11.35759176
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,775.0,-11.57502039
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,825.0,-11.30793011
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,965.0,-11.16753333
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,850.0,-11.350018423615833
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,825.0,-11.146227779835792
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,995.0,-11.0310337
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,865.0,-11.097159253087325
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,845.0,-11.116177620085658
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,950.0,-11.261495214090566
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,900.0,-11.41103979
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,825.0,-11.19005465
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,725.0,-11.64824815
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,875.0,-11.32703498104055
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,965.0,-11.34591279
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,840.0,-11.29409053
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,920.0,-11.20437686
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,790.0,-11.407767781975444
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,855.0,-11.28037169
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,945.0,-11.0760024
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,740.0,-11.243077680017612
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,805.0,-11.392970316837634
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,730.0,-11.398337800000002
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,700.0,-11.59557127
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,800.0,-11.46564335
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,945.0,-10.978455632956
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,915.0,-11.39994538
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,835.0,-11.29869031
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,815.0,-11.153230282101251
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,915.0,-11.20852616
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,710.0,-11.67121654
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,84.33483396,0.03890562,740.0,-11.60966355
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,950.0,-11.07143996
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,900.0,-11.23993907
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,995.0,-11.30113971
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,785.0,-11.26814999391902
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.70155074,0.59738952,960.0,-11.17158265
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,720.0,-11.56838558
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,960.0,-11.06235921
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,915.0,-11.291471133242366
2.0,0.000135821,-0.055555556,-0.25,85.19452266,0.581450766,765.0,-11.242331265366127
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,815.0,-11.44736273
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,770.0,-11.35970035
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,835.0,-11.1802088
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,990.0,-10.96836803057463
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,870.0,-11.14624342
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,760.0,-11.59647432
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,840.0,-11.359383197903671
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,730.0,-11.64069885
2.555555556,0.001460005,0.1975308639999999,0.125,85.72100355,1.139683662,940.0,-11.269955523087985
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,875.0,-11.101333534087932
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,875.0,-11.44191223
1.918518519,4.96e-05,-0.041481481,-0.23553719,83.87988921,-0.43047186,815.0,-11.31722345
2.0,0.000135821,-0.055555556,-0.25,84.3436191,0.23406123,830.0,-11.181506431414356
2.314814815,0.001173484,0.151234568,0.090909091,87.34499943,0.49824294,985.0,-10.97323891298436
1.883333333,-4.6500000000000005e-05,-0.012777778,-0.3,85.27547145,0.59425197,860.0,-11.39421029
2.135185185,-4.34e-05,-0.0599588479999999,-0.163636364,86.79573993,0.475401576,885.0,-11.4294576
1.918518519,4.96e-05,-0.041481481,-0.23553719,85.83081779999999,-0.04204317,775.0,-11.24023473
